直木はにや/＼してゐる。	なおきはにや／＼してゐる。
「榎本良三郎というのはいるよ、然しそれはよしたほうがいいね、あれはだめだ、とても使えるような人間じゃないよ」「いや使ってみたいんだ、大概なところは知っているが、少し考えることがあるんでね」「私はすすめないな、無能な許りでなく猜い、人に仕事を押付けておいて自分がしたように拵える、むやみに中傷や誹謗で人を傷つける、不平やごたごたの起こるもとだよ」「だが人間は使いようがあるからね、とにかく手続きをするから頼むよ」こういう話があって間もなく、榎本良三郎は作事奉行へ勤め替えになった。	「えのもとりょうざぶろうというのはいるよ、しかしそれはよしたほうがいいね、あれはだめだ、とてもつかえるようなにんげんじゃないよ」「いやつかってみたいんだ、たいがいなところはしっているが、すこしかんがえることがあるんでね」「わたしはすすめないな、むのうなもとりでなくあべい、ひとにしごとをおしつけておいてじぶんがしたようにこしらええる、むやみにちゅうしょうやひぼうでひとをきずつける、ふへいやごたごたのおこるもとだよ」「だがにんげんはつかいようがあるからね、とにかくてつづきをするからたのむよ」こういうはなしがあってまもなく、えのもとりょうざぶろうはさくじぶぎょうへつとめがえになった。
万事浮世はこういきてえものさ。	ばんじうきよはこういきてえものさ。
もっともみんなに変だと思われることを恐れてはいるし、みんなに少しはかわいがってもらえるように、世間並になりたいものだと、心から念じてはいるのだが。	もっともみんなにへんだとおもわれることをおそれてはいるし、みんなにすこしはかわいがってもらえるように、せけんなみになりたいものだと、こころからねんじてはいるのだが。
ねえ、マリーナ・イワーノヴナ、私も女ですよ、あなたの辛いお心がひとごととは思えませんわ。	ねえ、まりーな・いわーのゔな、わたしもおんなですよ、あなたのつらいおこころがひとごととはおもえませんわ。
(比較級に附すれば)なおさら、未だ未だ(など)。	（ひかくきゅうにふすれば）なおさら、いまだいまだ（など）。
總テ蜘蛛ノ類ニハ此類ノ作用殊ニ著シク、或ハ陷穽ヲ作リ他蟲ノ陷ルカヲ窺ヒ、或ハ壁虎ノ如ク、待伏ノ室ヲ作リ、其近邊ニ徘徊スル他蟲ヲ捕ルガ如キ、種々ノ巧ヲナセリ。	さとしてくものるいにはこのるいのさようことにちょしく、あるは陷穽をさくりた蟲の陷るかをうかがいひ、あるはかべとらの如く、まちふくのしつをさくり、其近ほとりにはいかいするた蟲をとるが如き、しゅじゅのたくみをなせり。
「まるで工場の中の機械が動くのを見るときのように、八機の爆撃隊は見事な訓練ぶりを見せて、次から次へと、「鉄の水母」の上に、まっくろな爆弾をなげおとした。」	「まるでこうじょうのなかのきかいがうごくのをみるときのように、はちきのばくげきたいはみごとなくんれんぶりをみせて、つぎからつぎへと、「てつのくらげ」のうえに、まっくろなばくだんをなげおとした。」
妾が、何を求めてゐるかが、やつぱり分つて下さらないのですわね。	そばめが、なにをもとめてゐるかが、やつぱりわかつてくださらないのですわね。
残る煙がお笑いの種明しだ。	のこるけむりがおわらいのたねあかしだ。
このような兄弟を、私どもに再びおつかわし下さいました事を。	このようなきょうだいを、わたしどもにふたたびおつかわしくださいましたことを。
チャップリンが何々に三年もかかった、百万ドル映画だ、そういうことが宣伝の文句だけにとどまらず、日本の映画人が本当に信仰している。	ちゃっぷりんがなに々にみとしもかかった、ひゃくまんどるえいがだ、そういうことがせんでんのもんくだけにとどまらず、にっぽんのえいがじんがほんとうにしんこうしている。
あれ、誰か来て……。	あれ、だれかきて…さいれんす
…	ect
